image,caption
./images/train/107.jpg,A baby seal lying on its back on the beach
./images/train/1070.jpg,iPhone wallpaper of a lake surrounded by mountains with boats in the distance
./images/train/1071.jpg,A pink lotus flower with green leaves in the background
./images/train/1072.jpg,A bouquet of red roses.
./images/train/1073.jpg,A flight of stone steps leading to a wooden building in a forest.
./images/train/1074.jpg,"A beautiful Chinese temple at night, with yellow light highlighting its features and reflection in the water."
./images/train/1075.jpg,A close-up of a vase filled with red roses.
./images/train/1076.jpg,The tree is full of pink flowers.
./images/train/1077.jpg,The interior of a large shopping mall with a glass ceiling.
./images/train/1078.jpg,"The photo shows that it is night, and the city park is very green and beautiful."
./images/train/1079.jpg,A black cat with yellow eyes sitting on grass.
./images/train/108.jpg,A rainbow appears over a body of water with trees in the background.
./images/train/1080.jpg,"A beautiful sakura tree is placed in the middle of the room, and the wall behind it is painted with a pink and white color scheme."
./images/train/1081.jpg,A car windshield with snow falling
./images/train/1082.jpg,A beautiful sunset with a mountain peak in the background and a plant in the foreground.
./images/train/1083.jpg,A picture of a snow covered mountain.
./images/train/1084.jpg,A quiet path under the trees
./images/train/1085.jpg,iPhone wallpaper of a beautiful temple in front of a snow capped mountain in the background
./images/train/1086.jpg,"A plate of roasted meat (specifically, pork belly) with a dark brown glaze sits on a wooden table."
./images/train/1087.jpg,A clear river with mountains in the background.
./images/train/1088.jpg,Two pink water lilies in a pond surrounded by green lily pads.
./images/train/1089.jpg,Sunlight shining through the clouds on a mountain range
./images/train/109.jpg,"The image shows a cityscape of Chongqing, with the长江大桥 in the background and people walking around."
./images/train/1090.jpg,A fluffy white cat sitting on the floor next to a chair.
./images/train/1091.jpg,"A tall building with a curved front, lit up at night."
./images/train/1092.jpg,An orange and white cat walking on a sidewalk.
./images/train/1093.jpg,Close up of an Arduino board connected to a keyboard.
./images/train/1094.jpg,A Tektronix AFG1062 arbitrary function generator showing a sine wave with a phase of 32 degrees and an amplitude of 64 millivolts.
./images/train/1095.jpg,A blue shelf with a 3D printed item on it
./images/train/1096.jpg,A oscilloscope display showing a square wave with 50% duty cycle
./images/train/1097.jpg,A railway bridge sits above a body of water stained red from mineral content.
./images/train/1098.jpg,A seagull flying over the sea
./images/train/1099.jpg,Green fruit on the tree branch
./images/train/11.jpg,The man is riding on a skateboard and showing his skill.
./images/train/110.jpg,A couple walking on a closed off road with cherry blossoms in the background
./images/train/1100.jpg,"A close-up of a pile of purple and blue crystal rocks, with a purple and blue light shining on them."
./images/train/1101.jpg,The temple tower is surrounded by green plants and has a golden尖顶。
./images/train/1102.jpg,The beautiful mountain scenery
./images/train/1103.jpg,A boat on a river surrounded by mountains
./images/train/1104.jpg,A couple of lanterns hanging from a tree branch.
./images/train/1105.jpg,The oscilloscope shows two signals with different frequencies.
./images/train/1106.jpg,深深的脚印在雪地上
./images/train/1107.jpg,A beautiful mountain range covered in snow is seen in the background with a field of trees in the foreground that are covered in pink flowers.
./images/train/1108.jpg,"A large, clear display case holds a portion of a well-preserved silk wrap, with a drum on a museum display label in the background."
./images/train/1109.jpg,The view of the Bell Museum from the back.
./images/train/111.jpg,"A photo of Japanese author Haruki Murakami in front of a screen reading ""Welcome back, Mr. Murakami""."
./images/train/1110.jpg,A pottery with dragon pattern
./images/train/1111.jpg,A wall of framed butterflies at the Buttefly Museum
./images/train/1112.jpg,The image shows a night view of a city street lined with blooming cherry trees.
./images/train/1113.jpg,飞机在蓝色的天空中留下白色的痕迹
./images/train/1114.jpg,A red and black drum on display in a museum.
./images/train/1115.jpg,A person playing a guitar on a stage.
./images/train/1116.jpg,The exterior of the K11 Musea is lit up at night.
./images/train/1117.jpg,A city bus at a bus stop on a city street at night.
./images/train/1118.jpg,"The main entrance of the campus at night, with the neon lights glowing."
./images/train/1119.jpg,Stone tools in the museum
./images/train/112.jpg,The street is crowded with people in Chongqing.
./images/train/1120.jpg,A blue ball hanging from the ceiling of a building.
./images/train/1121.jpg,"Customers are seated at tables in a cafe, which has a wall covered in paintings and photographs."
./images/train/1122.jpg,A wooden statue of a bird with outstretched wings.
./images/train/1123.jpg,A white peacock with a blue tail sitting on a blue pole in a cage.
./images/train/1124.jpg,The bronze deer of the museum is very beautiful.
./images/train/1125.jpg,A knife on a table in the dark
./images/train/1126.jpg,A display of the test strips for the different types of paper used in the book.
./images/train/1127.jpg,A white cat paws at its reflection in a glass case.
./images/train/1128.jpg,"The exterior of the museum, with a crowd of people walking in front of it."
./images/train/1129.jpg,A suit of armor on display in a museum.
./images/train/113.jpg,An aerial view of the three-story terraces and the rainforest garden at Jewel Changi Airport.
./images/train/1130.jpg,A close up of a wooden model of a scholar's desk and chair.
./images/train/1131.jpg,A sword is lit up against a black background.
./images/train/1132.jpg,People stand in front of a store with a large flower decoration.
./images/train/1133.jpg,A table of framed butterflies.
./images/train/1134.jpg,"Two blue butterflies in frames, one large and one small, on a purple background."
./images/train/1135.jpg,A framed blue butterfly on a shelf
./images/train/1136.jpg,a picture of a long black and white silk road map
./images/train/1137.jpg,The tip of a violin bow on a black background.
./images/train/1138.jpg,A red and black silk pillow with a dragon design on the edge.
./images/train/1139.jpg,People looking at a bright blue sports car.
./images/train/114.jpg,The skyscraper in Chongqing is beautifully lit up at night.
./images/train/1140.jpg,A black motorcycle is parked on the sidewalk next to a street.
./images/train/1141.jpg,A black motorcycle is parked on a city street.
./images/train/1142.jpg,A photo of a large swimming pool shaped like a pear.
./images/train/1143.jpg,"The main sign for the museum, which is a large grey wall with gold Chinese characters."
./images/train/1144.jpg,A wide angle shot of the inside of a large glass elevator.
./images/train/1145.jpg,A sign that says Chuzhou A Polity of 800 Years
./images/train/1146.jpg,A sunset view through a window with a screen.
./images/train/1147.jpg,Display of a stone and a bone
./images/train/1148.jpg,"Snow covered electric bikes are seen parked in a residential area after a snowfall in Shanghai, China, January 22, 2021. (Reuters/Staff)"
./images/train/1149.jpg,A piece of the ancient pottery from the Han Dynasty.
./images/train/115.jpg,People walking up the stairs
./images/train/1150.jpg,A person takes a photo of a sword with their phone.
./images/train/1151.jpg,Two gold pendants in the shape of a dragon from the Shang Dynasty.
./images/train/1152.jpg,A gold cup in the museum
./images/train/1153.jpg,A snowy night in the city
./images/train/1154.jpg,Display of six gold and green painted ancient bells on a white shelf.
./images/train/1155.jpg,"A close-up of a drawer in the lounge area, which is lined with a dark coppery material and has a series of long, thin, dark brown knives with round handles arranged horizontally in it."
./images/train/1156.jpg,"Two trays with anime characters on them, one has a girl with pink hair and the other has a girl with brown hair."
./images/train/1157.jpg,A knife held in darkness with a single beam of light highlighting the blade.
./images/train/1158.jpg,"A bronze cup with铭文 ""king of the world"" on it."
./images/train/1159.jpg,A large bronze bell on display in the museum.
./images/train/116.jpg,A white plastic part made by injection molding.
./images/train/1160.jpg,"The sword of the museum is very long and thin, with a black handle and a silver sheath."
./images/train/1161.jpg,A decorative casket from the Han Dynasty.
./images/train/1162.jpg,A white peacock with a blue cage.
./images/train/1163.jpg,A blue butterfly in a frame
./images/train/1164.jpg,Two white cats in a transparent cat cafe.
./images/train/1165.jpg,People are playing in the park.
./images/train/1166.jpg,"The blossoms on this tree have not yet reached their full bloom, but the white petals are almost ready."
./images/train/1167.jpg,"A large model of a flower with a purple glow, with a sign saying ""Urban Farm"" to the right."
./images/train/1168.jpg,A tall building with K11 written on the top.
./images/train/1169.jpg,Two cups of tea on a table
./images/train/117.jpg,A large building with Chinese characters on it.
./images/train/1170.jpg,Stone tools from the Neolithic period.
./images/train/1171.jpg,A wall of framed butterflies
./images/train/1172.jpg,A wall inside a restaurant with a map of the world and photos of people.
./images/train/1173.jpg,"A sculpture of a deer is painted in blue color and it is located in front of a wall with the words ""武汉 吴华林"" on it."
./images/train/1174.jpg,A close-up of a red and black staff in a case.
./images/train/1175.jpg,A piece of gold workmanship on display in a museum.
./images/train/1176.jpg,A sword is displayed in a museum.
./images/train/1177.jpg,A photo of an ancient bronze food container on display.
./images/train/1178.jpg,"Terracotta horses and chariots at the museum in Xi'an, China."
./images/train/1179.jpg,A row of bells on display.
./images/train/118.jpg,"""Life is like a anime, it's full of unexpected twists!"""
./images/train/1180.jpg,A framed butterfly with a Chinese description.
./images/train/1181.jpg,A white peacock in a cage
./images/train/1182.jpg,A case of framed butterflies
./images/train/1183.jpg,Gold sheet and various gold pieces in the museum
./images/train/1184.jpg,Some old wooden objects on display.
./images/train/1185.jpg,A large sphere made of glass is suspended from the ceiling. It is blue on the outside and black on the inside. The sphere is so large that it covers most of the ceiling.
./images/train/1186.jpg,A bag of QAIAHAO spicy taste
./images/train/1187.jpg,"An old, rusted knife and a ceremonial knife from the Sican culture, 8th century BC."
./images/train/1188.jpg,A display showing the different layers of the same meteorite.
./images/train/1189.jpg,Two pages of a Chinese book printed in black and white.
./images/train/119.jpg,A white bag with a purple stuffed animal hanging from it
./images/train/1190.jpg,A white bird with a long tail sitting on a blue perch in a cage.
./images/train/1191.jpg,A building with a lot of people in front of it
./images/train/1192.jpg,"The interior of a restaurant in Paris, with a large blue moon hanging from the ceiling."
./images/train/1193.jpg,"The picture shows a scene at a bus stop at night. A bus is arriving at the bus stop, and many people are waiting at the bus stop to board the bus. There are also many people walking on the sidewalk. The street is lit up, and the trees along the road are in full bloom, with white flowers. There are also many cars on the road."
./images/train/1194.jpg,A large advertisement for WH that says I love WH with a heart.
./images/train/1195.jpg,Two tall buildings with Chinese characters lit up at night.
./images/train/1196.jpg,"The front of Tongji Medical College, which is part of Tongji University, is seen in Wuhan in central China's Hubei Province. The hospital is one of the few in Wuhan that still has patients being treated for COVID-19."
./images/train/1197.jpg,The main entrance of K11 art museum in Shanghai at night.
./images/train/1198.jpg,A piece of rock on display in a museum.
./images/train/1199.jpg,A wooden box with red and black designs and writing on it.
./images/train/12.jpg,People wearing masks wait at a bus stop.
./images/train/120.jpg,The building is the Hong Kong Kowloon Station. The building is very large and has two clocks on the roof.
./images/train/1200.jpg,A gold cup in the museum
./images/train/1201.jpg,A blue-covered cage with three white doves inside.
./images/train/1202.jpg,A plate of rice with two bowls of food on the side.
./images/train/1203.jpg,A white wall with a large Chinese character 'Tianxu' written on it.
./images/train/1204.jpg,"The Terracotta Army exhibition hall, with a glass bottom floor so you can see the warriors below."
./images/train/1205.jpg,"A row of seven thin, cylindrical objects made of jadeite are displayed on a black shelf."
./images/train/1206.jpg,A man with a gun standing behind a woman.
./images/train/1207.jpg,A rabbit eating on a screen.
./images/train/1208.jpg,A picture of a highway with wind turbines in the background.
./images/train/1209.jpg,A street covered in fog
./images/train/121.jpg,"The main gate of the temple is very large, with two large doors and two small doors. The gate is made of gray stone, with carvings on the surface. Above the doors, there are four large characters that read ""Tiantong Temple"". Between the two doors, there are two rows of characters that read ""South Nandashi Avenue""."
./images/train/1210.jpg,A metal tray filled with cooked crawfish.
./images/train/1211.jpg,A book page describing the control of PWM速度调制
./images/train/1212.jpg,"A cartoon image of a large badger with the words ""��伯利亚大尾巴狼"" (Xiguanjia Da尾Ba狼) in the corner."
./images/train/1213.jpg,Screenshot of a blue bag being sold online.
./images/train/1214.jpg,A sign advertising a QR code for online ordering at a restaurant.
./images/train/1215.jpg,"The picture shows a lake in the park. There are many trees on both sides of the lake, and there are some tall grasses on the lake shore. The water in the lake is calm, and there are two ducks swimming in the water."
./images/train/1216.jpg,Picture shows the mid autumn festival gift box packaging designed by students at华中科技大学.
./images/train/1217.jpg,A white dog looking at a person's shoe.
./images/train/1218.jpg,Group of people eating in a room
./images/train/1219.jpg,A person holding a pair of car keys with a keychain.
./images/train/122.jpg,Ice formations on the side of a mountain.
./images/train/1220.jpg,A long corridor with white walls and grey tiled floor.
./images/train/1221.jpg,A row of cars parked in front of a building
./images/train/1222.jpg,A map of the昔口的汉港、昌武和陵港口
./images/train/1223.jpg,A night time picture of a large building with a large screen on the top of it.
./images/train/1224.jpg,A car on the road
./images/train/1225.jpg,A plate of food with a hand holding a spoon.
./images/train/1226.jpg,"A computer desk with a monitor, keyboard, mouse, and various books and cables."
./images/train/1227.jpg,a row of trees with white trunk
./images/train/1228.jpg,People wearing face masks walk under a traditional Chinese archway decorated with lanterns
./images/train/1229.jpg,A large building in the shape of a rectangular tube is brightly lit up at night.
./images/train/123.jpg,"The main tower of the Jinhai Temple in Mount Putuo, Zhejiang, is yellow, with five floors and three levels of eaves."
./images/train/1230.jpg,"The photo shows the beautiful scenery of ""春"". There are pink flowers on the branches of trees and green leaves. Under the tree, some people are enjoying the beauty of the flowers."
./images/train/1231.jpg,A street view with trees on both sides
./images/train/1232.jpg,"Two teddy bears with their noses touching, in front of a tree."
./images/train/1233.jpg,Two pictures of cherry blossoms in front of a house
./images/train/1234.jpg,A police officer assisting a motorist to complete the ETC registration.
./images/train/1235.jpg,A bowl of food is placed on the stove top.
./images/train/1236.jpg,"The screen displays ""无法拯救自己"" in Chinese."
./images/train/1237.jpg,A tree with pink flowers in front of a window.
./images/train/1238.jpg,A closed shop with a sign that reads “Cai Niao” above a shutter.
./images/train/1239.jpg,Snow on the ground in the forest.
./images/train/124.jpg,Photos of the bombing of Kobe in 1945
./images/train/1240.jpg,A large square is surrounded by tall buildings on all sides.
./images/train/1241.jpg,Close up of the stairs
./images/train/1242.jpg,"Night view of the Four Season's Hotel, Aria, Bellagio, and the Cosmopolitan."
./images/train/1243.jpg,A meal of kimchi stew and rice.
./images/train/1244.jpg,A blue backpack with a white bow and white stars.
./images/train/1245.jpg,A row of motorcycles are parked in front of a building.
./images/train/1246.jpg,A meal of rice and meat in a bowl
./images/train/1247.jpg,A row of bunk beds in a train.
./images/train/1248.jpg,A teacher at a Chinese school has been suspended after he was caught on camera slapping a student across the face.
./images/train/1249.jpg,A seat cover on a scooter
./images/train/125.jpg,"Photo of Sun Yat-sen and his wife, Soong Ching-ling, with other members of the Beiyang government, who were photographed in 1919."
./images/train/1250.jpg,A mouse with a green light on it sitting on a desk.
./images/train/1251.jpg,A bottle of男士润肤露 held in a hand
./images/train/1252.jpg,The tall building has many windows on it.
./images/train/1253.jpg,"A night view of a street in Suzhou, as seen through a bicycle's rearview mirror."
./images/train/1254.jpg,"A cat with a bow tie on, leaping in the air."
./images/train/1255.jpg,A map of the scenic area is displayed.
./images/train/1256.jpg,The setting sun casts a warm glow on the cityscape and the people going about their evening activities.
./images/train/1257.jpg,A picture of a factory seen from a distance
./images/train/1258.jpg,A potted plant on a ledge of a building
./images/train/1259.jpg,The computer screen shows an error message that the printer is not recognized.
./images/train/126.jpg,"A group of people are shown in a red light, looking up at a screen."
./images/train/1260.jpg,A night time view of the lake with the city lights in the background.
./images/train/1261.jpg,The difference in raising a cat and a dog.
./images/train/1262.jpg,Red lanterns hang from the ceiling of a large room.
./images/train/1263.jpg,A street view of a residential building with a few trees and some parked cars.
./images/train/1264.jpg,A dog sleeping on a sidewalk next to a building.
./images/train/1265.jpg,"A movie screen showing a scene from the movie ""Jia孜然人生"" with a couple walking down a street in Jia孜然."
./images/train/1266.jpg,"A cinema screen showing the poster of ""The Wandering Earth"""
./images/train/1267.jpg,"The sun shines through the branches of a weeping willow, creating a starburst effect."
./images/train/1268.jpg,A table full of dishes and drinks in front of a large TV.
./images/train/1269.jpg,A Dairy Queen shop in China with a wall of TVs displaying ads and menu items.
./images/train/127.jpg,Photo of a portrait of Dr. Sun Yat-sen on display at the museum.
./images/train/1270.jpg,"The sky wheel of Tianjin in spring, view from the other side of the river"
./images/train/1271.jpg,"An office with desks, chairs, and various items on the tables."
./images/train/1272.jpg,"Night view of a city road, with traffic lights and cars."
./images/train/1273.jpg,Night view of the school building and the lawn
./images/train/1274.jpg,The photo shows that it is night and there are many people walking around the square.
./images/train/1275.jpg,A piece of paper with a math equation on it
./images/train/1276.jpg,a bag of samzpie brand spicy dried fish mouth
./images/train/1277.jpg,A plate of noodles with vegetables.
./images/train/1278.jpg,A row of bicycles and motorcycles are parked outside a building.
./images/train/128.jpg,Photos of the Japanese army and their victims in the museum
./images/train/1280.jpg,a bowl filled with squid
./images/train/1281.jpg,"""I'm not sure about this..."" - The dog in the picture seems to be hesitant about something."
./images/train/1282.jpg,An image of a math equation
./images/train/1283.jpg,A small transparent bottle of green oil is placed on the table in front of the computer keyboard.
./images/train/1284.jpg,"Jackie Chan in the movie ""Police Story""系列, 1985-1994"
./images/train/1285.jpg,A basketball in a box on the floor.
./images/train/1286.jpg,There are two Chinese flags hanging on the white wall.
./images/train/1287.jpg,A green Jansport backpack hanging on the back of a chair.
./images/train/1288.jpg,An air conditioner in a room.
./images/train/1289.jpg,A flight of stairs with a railing and some pictures on the wall above.
./images/train/129.jpg,White clouds on a blue sky
./images/train/1290.jpg,The setting sun casts a warm glow on the cityscape and the crowd of people walking on the street.
./images/train/1291.jpg,A blue road sign with Chinese and English characters.
./images/train/1292.jpg,A residential area in eastern China was left looking like a war zone on Saturday after a heavy snowfall.
./images/train/1293.jpg,A hole in the floor
./images/train/1294.jpg,"A long corridor with green and white walls, a tiled floor, and several windows."
./images/train/1295.jpg,"A muscular man holding a basketball with his arms outstretched, in front of a black background."
./images/train/1296.jpg,People standing on a large structure overlooking the ocean.
./images/train/1297.jpg,A close-up of pink flowers on a tree branch against a blue sky.
./images/train/1298.jpg,"The evening view of the square is even more beautiful. The bright yellow lights under the trees, the brightly lit ancient buildings, the walking people... all these make the square even more beautiful."
./images/train/1299.jpg,"The picture shows that the net red live room traffic rankings have been released, and the top five are all male live rooms."
./images/train/13.jpg,A city view with a tower and an umbrella in the foreground.
./images/train/130.jpg,The queue to get into the Xian city wall.
./images/train/1300.jpg,A motorcycle parked by a fence
./images/train/1301.jpg,"Maps of the world, with China and Japan labeled."
./images/train/1302.jpg,A beautiful sunset sky with clouds above some buildings.
./images/train/1303.jpg,Two ground squirrels eating carrots on the ground
./images/train/1304.jpg,A pagoda behind cherry blossoms
./images/train/1305.jpg,A bucket and a box are on the floor.
./images/train/1306.jpg,"Screen capture of the music video for ""如果有谁能够"" by Mayday (Mayday)"
./images/train/1307.jpg,"A stage with a backdrop that says ""去他的吧，无所谓啦"""
./images/train/1308.jpg,"""Only wish to face the sea, the sky, and the flowers in spring"" is written in Chinese. The picture shows three seagulls flying over the sea."
./images/train/1309.jpg,A yellow sculpture of a large ring with a cityscape inside it.
./images/train/131.jpg,Gold cup and gold ring in the museum
./images/train/1310.jpg,"Close-up photo of a lower leg with a large gash on the knee, covered in blood."
./images/train/1311.jpg,Screenshot of the game of poker
./images/train/1312.jpg,A bouquet of white lilies and red berries wrapped in pink paper.
./images/train/1313.jpg,A pair of white headphones
./images/train/1314.jpg,"A set of earphones in white, with a plastic package."
./images/train/1315.jpg,"The king of glory screenshot, two male characters in white and blue armor, one is holding a blue long sword and the other is holding a crystal staff"
./images/train/1316.jpg,A cute anime boy with blue hair and a red rose above his head
./images/train/1317.jpg,Sunlight shining on a city square and a statue of a man pointing towards the sky.
./images/train/1318.jpg,"The picture shows several levels of red packets, with the content of ""六神无主牵挂你"", ""七彩祥云罩着你"", ""八方来财扑向你"", ""久久如一还爱你"", ""十指相扣我爱你"", ""一生一世我陪你"", and ""特别的爱给特别的你""."
./images/train/1319.jpg,"The 2020-2021 school year has started, and so has the 2020-2021 season of the High School Students' International Forum. On September 17th, 2020, the forum kicked off with a ceremony in the school auditorium. The theme of this year's forum is ""Innovation and Entrepreneurship"". This year, there are 24 students participating in the forum, including 11 students from Heilongjiang, 5 from Jilin, 3 from Liaoning, 2 from Beijing, and 1 each from Hebei, Shanghai, and Tianjin. The forum will last for 3 weeks, with a focus on teaching innovation and entrepreneurship courses, as well as participating in various activities and competitions. The forum is not only a place for students to learn, but also a place for them to socialize and make friends, laying the foundation for their future development."
./images/train/132.jpg,A silver mirror on display at the museum.
./images/train/1320.jpg,Six large water jugs wrapped in plastic.
./images/train/1321.jpg,A broom and dustpan set on the floor
./images/train/1322.jpg,A tree and a building
./images/train/1323.jpg,A brown door with a锁.
./images/train/1324.jpg,A hand holding a blue bottle of Shun Jue cream.
./images/train/1325.jpg,"A night view of the urban landscape of Shenzhen, with a large advertising screen and many cars on the road."
./images/train/1326.jpg,A hand holding an iPhone in white.
./images/train/1327.jpg,a bowl filled with food Description automatically generated
./images/train/1328.jpg,"A news article about China's short video and live streaming sector growing with over 15 million hosts, as online shopping fuels demand."
./images/train/1329.jpg,"The Bell Tower of Xi'an, China, is a historic building and a popular tourist attraction."
./images/train/133.jpg,"The view of the Temple of Heaven in Beijing, which is a must-see attraction for visitors."
./images/train/1330.jpg,"A bowl of noodles with vegetables and meat, with a metal spoon in the bowl."
./images/train/1331.jpg,"A person holding a deck of cards with the J, Q, K, and A showing."
./images/train/1332.jpg,"A small village in China has a speed limit of 2, 5, and 2."
./images/train/1333.jpg,People walking in the street at night
./images/train/1334.jpg,A snow day in Shanghai.
./images/train/1335.jpg,A bridge with various traffic signs on it.
./images/train/1336.jpg,An ad for an Ultraman show in Wuhan
./images/train/1337.jpg,A close-up of a round LED light with a wire connected to it.
./images/train/1338.jpg,An aerial view of the Huazhong University of Science and Technology (HUST).
./images/train/1339.jpg,A screen capture of the movie ‘Frontier 4: Early marriage’ from Weibo.
./images/train/134.jpg,"The ceiling of the museum, which is made up of numerous square metal plates, creates an unique pattern and beautiful colors under the light at night."
./images/train/1340.jpg,A Dairy Queen shop in China with a case of various cakes and a wall of TVs.
./images/train/1341.jpg,The colorful smoke from the explosion
./images/train/1342.jpg,A baby in a stroller is pushed by a parent in a park.
./images/train/1343.jpg,The sun setting behind a building
./images/train/1344.jpg,"The sun sets in the distance, painting the sky with warm hues of orange and pink."
./images/train/1345.jpg,"The portrait mode of the car display is very large, with a touch of black around the edge."
./images/train/1346.jpg,A yellow container of chips on a shelf.
./images/train/1347.jpg,A boy on a bicycle with a dragon shadow behind him
./images/train/1348.jpg,A wall on the side of a building
./images/train/1349.jpg,The snow-covered mountain range stretches far beyond the eye can see.
./images/train/135.jpg,A mummy of a young girl in a glass case
./images/train/1350.jpg,A close up of a wok filled with noodles and vegetables
./images/train/1351.jpg,A close up of a baby's face.
./images/train/1352.jpg,A Casio scientific calculator with a large screen.
